"Plot Title: JR_H34_R3"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20601214, SEN S/N: 20601214)","RH, % (LGR S/N: 20601214, SEN S/N: 20601214)","DewPt, °C (LGR S/N: 20601214, SEN S/N: 20601214)","Host Connected (LGR S/N: 20601214)","Stopped (LGR S/N: 20601214)","End Of File (LGR S/N: 20601214)"
114,06/03/22 09:05:18 AM,27.118,79.51,23.296,,,
115,06/03/22 10:05:18 AM,30.375,74.87,25.446,,,
116,06/03/22 11:05:18 AM,32.183,73.24,26.812,,,
117,06/03/22 12:05:18 PM,33.582,72.15,27.899,,,
118,06/03/22 01:05:18 PM,34.898,72.01,29.129,,,
119,06/03/22 02:05:18 PM,35.940,71.61,30.031,,,
120,06/03/22 03:05:18 PM,36.806,71.64,30.870,,,
121,06/03/22 04:05:18 PM,37.627,71.20,31.547,,,
122,06/03/22 05:05:18 PM,37.959,69.17,31.353,,,
123,06/03/22 06:05:18 PM,37.876,68.24,31.035,,,
124,06/03/22 07:05:18 PM,35.698,71.02,29.655,,,
125,06/03/22 08:05:18 PM,33.269,73.80,27.988,,,
126,06/03/22 09:05:18 PM,29.696,75.60,24.953,,,
127,06/03/22 10:05:18 PM,25.361,81.63,22.017,,,
128,06/03/22 11:05:18 PM,22.949,88.44,20.962,,,
129,06/04/22 12:05:18 AM,21.608,88.17,19.591,,,
130,06/04/22 01:05:18 AM,20.988,91.70,19.612,,,
131,06/04/22 02:05:18 AM,20.463,90.04,18.798,,,
132,06/04/22 03:05:18 AM,19.821,91.24,18.374,,,
133,06/04/22 04:05:18 AM,19.440,91.62,18.063,,,
134,06/04/22 05:05:18 AM,18.964,91.74,17.614,,,
135,06/04/22 06:05:18 AM,19.868,89.09,18.040,,,
136,06/04/22 07:05:18 AM,21.895,82.10,18.726,,,
137,06/04/22 08:05:18 AM,23.525,81.45,20.190,,,
138,06/04/22 09:05:18 AM,27.167,79.23,23.284,,,
139,06/04/22 10:05:18 AM,30.476,74.97,25.564,,,
140,06/04/22 11:05:18 AM,32.286,72.88,26.828,,,
141,06/04/22 12:05:18 PM,33.791,72.13,28.097,,,
142,06/04/22 01:05:18 PM,34.871,71.24,28.918,,,
143,06/04/22 02:05:18 PM,36.021,70.71,29.888,,,
144,06/04/22 03:05:18 PM,36.779,70.63,30.593,,,
145,06/04/22 04:05:18 PM,37.462,70.43,31.198,,,
146,06/04/22 05:05:18 PM,37.820,68.98,31.173,,,
147,06/04/22 06:05:18 PM,37.903,68.22,31.057,,,
148,06/04/22 07:05:18 PM,35.671,71.02,29.629,,,
149,06/04/22 08:05:18 PM,33.269,73.66,27.955,,,
150,06/04/22 09:05:18 PM,29.797,75.16,24.952,,,
151,06/04/22 10:05:18 PM,25.458,81.40,22.066,,,
152,06/04/22 11:05:18 PM,22.877,88.42,20.887,,,
153,06/05/22 12:05:18 AM,21.632,87.81,19.549,,,
154,06/05/22 01:05:18 AM,20.964,91.95,19.632,,,
155,06/05/22 02:05:18 AM,20.463,89.89,18.772,,,
156,06/05/22 03:05:18 AM,19.821,90.79,18.295,,,
157,06/05/22 04:05:18 AM,19.321,91.26,17.883,,,
158,06/05/22 05:05:18 AM,18.940,91.36,17.524,,,
159,06/05/22 06:05:18 AM,19.773,88.25,17.796,,,
160,06/05/22 07:05:18 AM,21.799,81.75,18.565,,,
161,06/05/22 08:05:18 AM,23.501,81.37,20.150,,,
162,06/05/22 09:05:18 AM,27.118,79.39,23.269,,,
163,06/05/22 10:05:18 AM,30.476,74.68,25.499,,,
164,06/05/22 11:05:18 AM,32.286,72.62,26.766,,,
165,06/05/22 12:05:18 PM,33.843,71.77,28.061,,,
166,06/05/22 01:05:18 PM,34.845,55.26,24.566,,,
167,06/05/22 02:05:18 PM,35.671,77.71,31.207,,,
168,06/05/22 03:05:18 PM,36.643,74.35,31.366,,,
169,06/05/22 04:05:18 PM,37.352,72.05,31.493,,,
170,06/05/22 05:05:18 PM,37.765,70.36,31.469,,,
171,06/05/22 06:05:18 PM,37.876,68.71,31.158,,,
172,06/05/22 07:05:18 PM,35.698,71.57,29.790,,,
173,06/05/22 08:05:18 PM,33.165,74.29,28.001,,,
174,06/05/22 09:05:18 PM,29.747,75.72,25.028,,,
175,06/05/22 10:05:18 PM,25.385,81.82,22.079,,,
176,06/05/22 11:05:18 PM,22.853,88.84,20.942,,,
177,06/06/22 12:05:18 AM,21.608,88.56,19.663,,,
178,06/06/22 01:05:18 AM,20.964,91.94,19.629,,,
179,06/06/22 02:05:18 AM,20.416,90.41,18.818,,,
180,06/06/22 03:05:18 AM,19.797,91.59,18.412,,,
181,06/06/22 04:05:18 AM,19.368,92.49,18.144,,,
182,06/06/22 05:05:18 AM,19.012,92.08,17.720,,,
183,06/06/22 06:05:18 AM,19.868,89.08,18.039,,,
184,06/06/22 07:05:18 AM,21.895,81.63,18.634,,,
185,06/06/22 08:05:18 AM,23.477,81.54,20.160,,,
186,06/06/22 09:05:18 AM,27.191,78.68,23.192,,,
187,06/06/22 10:05:18 AM,30.502,74.48,25.479,,,
188,06/06/22 11:05:18 AM,32.209,67.80,25.528,,,
189,06/06/22 12:05:18 PM,33.791,72.78,28.250,,,
190,06/06/22 01:05:18 PM,34.924,71.55,29.044,,,
191,06/06/22 02:05:18 PM,36.021,70.53,29.843,,,
192,06/06/22 03:05:18 PM,36.997,70.65,30.808,,,
193,06/06/22 04:05:18 PM,37.738,70.01,31.356,,,
194,06/06/22 05:05:18 PM,37.986,68.93,31.318,,,
195,06/06/22 06:05:18 PM,38.125,67.60,31.108,,,
196,06/06/22 07:05:18 PM,35.859,70.40,29.657,,,
197,06/06/22 08:05:18 PM,33.295,73.62,27.970,,,
198,06/06/22 09:05:18 PM,29.897,75.21,25.059,,,
199,06/06/22 10:05:18 PM,25.506,81.45,22.124,,,
200,06/06/22 11:05:18 PM,22.925,88.82,21.009,,,
201,06/07/22 12:05:18 AM,21.584,88.23,19.579,,,
202,06/07/22 01:05:18 AM,20.964,92.21,19.677,,,
203,06/07/22 02:05:18 AM,20.511,90.36,18.903,,,
204,06/07/22 03:05:18 AM,19.797,91.27,18.355,,,
205,06/07/22 04:05:18 AM,19.416,91.35,17.993,,,
206,06/07/22 05:05:18 AM,18.940,91.88,17.614,,,
207,06/07/22 06:05:18 AM,19.821,89.02,17.981,,,
208,06/07/22 07:05:18 AM,21.823,81.97,18.631,,,
209,06/07/22 08:05:18 AM,23.549,80.95,20.113,,,
210,06/07/22 09:05:18 AM,27.167,78.54,23.140,,,
211,06/07/22 10:05:18 AM,30.552,74.32,25.491,,,
212,06/07/22 11:05:18 AM,32.440,72.27,26.832,,,
213,06/07/22 12:05:18 PM,34.001,69.55,27.671,,,
214,06/07/22 01:05:18 PM,35.031,70.90,28.987,,,
215,06/07/22 02:05:18 PM,36.129,70.30,29.889,,,
216,06/07/22 03:05:18 PM,37.024,70.03,30.679,,,
217,06/07/22 04:05:18 PM,37.710,69.89,31.298,,,
218,06/07/22 05:05:18 PM,38.125,68.23,31.271,,,
219,06/07/22 06:05:18 PM,38.208,67.13,31.064,,,
220,06/07/22 07:05:18 PM,35.940,70.15,29.671,,,
221,06/07/22 08:05:18 PM,33.295,73.50,27.944,,,
222,06/07/22 09:05:18 PM,29.947,74.67,24.986,,,
223,06/07/22 10:05:18 PM,25.506,81.15,22.062,,,
224,06/07/22 11:05:18 PM,22.973,88.21,20.943,,,
225,06/08/22 12:05:18 AM,21.656,88.21,19.645,,,
226,06/08/22 01:05:18 AM,20.988,91.74,19.619,,,
227,06/08/22 02:05:18 AM,20.535,90.21,18.899,,,
228,06/08/22 03:05:18 AM,19.821,91.39,18.400,,,
229,06/08/22 04:05:18 AM,19.416,91.49,18.017,,,
230,06/08/22 05:05:18 AM,19.059,92.15,17.778,,,
231,06/08/22 06:05:18 AM,19.916,88.63,18.006,,,
232,06/08/22 07:05:18 AM,21.847,81.80,18.621,,,
233,06/08/22 08:05:18 AM,23.501,80.88,20.053,,,
234,06/08/22 09:05:18 AM,27.265,78.58,23.243,,,
235,06/08/22 10:05:18 AM,30.679,74.11,25.564,,,
236,06/08/22 11:05:18 AM,32.440,72.34,26.849,,,
237,06/08/22 12:05:18 PM,33.896,71.19,27.970,,,
238,06/08/22 01:05:18 PM,35.244,70.79,29.164,,,
239,06/08/22 02:05:18 PM,36.129,70.40,29.914,,,
240,06/08/22 03:05:18 PM,37.106,69.41,30.602,,,
241,06/08/22 04:05:18 PM,37.820,69.07,31.195,,,
242,06/08/22 05:05:18 PM,38.236,67.77,31.258,,,
243,06/08/22 06:05:18 PM,38.264,66.70,31.004,,,
244,06/08/22 07:05:18 PM,36.021,69.62,29.618,,,
245,06/08/22 08:05:18 PM,33.373,72.93,27.885,,,
246,06/08/22 09:05:18 PM,29.922,74.81,24.994,,,
247,06/08/22 10:05:18 PM,25.555,80.80,22.038,,,
248,06/08/22 11:05:18 PM,22.949,88.36,20.947,,,
249,06/09/22 12:05:18 AM,21.656,87.98,19.604,,,
250,06/09/22 01:05:18 AM,21.036,91.51,19.625,,,
251,06/09/22 02:05:18 AM,20.535,90.06,18.872,,,
252,06/09/22 03:05:18 AM,19.892,90.96,18.396,,,
253,06/09/22 04:05:18 AM,19.440,91.38,18.022,,,
254,06/09/22 05:05:18 AM,18.988,91.79,17.645,,,
255,06/09/22 06:05:18 AM,19.868,88.68,17.967,,,
256,06/09/22 07:05:18 AM,21.895,81.63,18.634,,,
257,06/09/22 08:05:18 AM,23.549,80.68,20.059,,,
258,06/09/22 09:05:18 AM,27.339,78.46,23.288,,,
259,06/09/22 10:05:18 AM,30.679,73.59,25.446,,,
260,06/09/22 11:05:18 AM,32.492,71.95,26.808,,,
261,06/09/22 12:05:18 PM,33.948,70.75,27.914,,,
262,06/09/22 01:05:18 PM,35.031,56.19,25.017,,,
263,06/09/22 02:05:18 PM,36.453,72.04,30.629,,,
264,06/09/22 03:05:18 PM,37.215,69.16,30.641,,,
265,06/09/22 04:05:18 PM,38.042,68.59,31.284,,,
266,06/09/22 05:05:18 PM,38.403,67.92,31.455,,,
267,06/09/22 06:05:18 PM,38.375,66.42,31.034,,,
268,06/09/22 07:05:18 PM,36.048,69.47,29.605,,,
269,06/09/22 08:05:18 PM,33.477,72.82,27.960,,,
270,06/09/22 09:05:18 PM,29.998,74.42,24.980,,,
271,06/09/22 10:05:18 PM,25.555,81.02,22.084,,,
272,06/09/22 11:05:18 PM,22.949,88.40,20.956,,,
273,06/10/22 12:05:18 AM,21.680,87.75,19.584,,,
274,06/10/22 01:05:18 AM,21.012,91.88,19.666,,,
275,06/10/22 02:05:18 AM,20.535,89.86,18.836,,,
276,06/10/22 03:05:18 AM,19.821,91.19,18.366,,,
277,06/10/22 04:05:18 AM,19.416,91.55,18.028,,,
278,06/10/22 05:05:18 AM,19.012,91.36,17.594,,,
279,06/10/22 06:05:18 AM,19.868,88.44,17.924,,,
280,06/10/22 07:05:18 AM,21.919,81.39,18.611,,,
281,06/10/22 08:05:18 AM,23.693,80.70,20.204,,,
282,06/10/22 09:05:18 AM,27.339,78.02,23.195,,,
283,06/10/22 10:05:18 AM,30.881,73.35,25.587,,,
284,06/10/22 11:05:18 AM,32.724,71.43,26.906,,,
285,06/10/22 12:05:18 PM,34.211,70.48,28.099,,,
286,06/10/22 01:05:18 PM,35.698,67.82,28.854,,,
287,06/10/22 02:05:18 PM,36.507,69.90,30.152,,,
288,06/10/22 03:05:18 PM,37.325,68.48,30.572,,,
289,06/10/22 04:05:18 PM,38.014,68.61,31.263,,,
290,06/10/22 05:05:18 PM,38.514,66.94,31.305,,,
291,06/10/22 06:05:18 PM,38.654,65.95,31.174,,,
292,06/10/22 07:05:18 PM,36.182,69.08,29.636,,,
293,06/10/22 08:05:18 PM,33.556,72.43,27.942,,,
294,06/10/22 09:05:18 PM,29.973,74.51,24.974,,,
295,06/10/22 10:05:18 PM,25.579,80.94,22.091,,,
296,06/10/22 11:05:18 PM,22.997,88.08,20.943,,,
297,06/11/22 12:05:18 AM,21.656,87.74,19.560,,,
298,06/11/22 01:05:18 AM,21.036,91.16,19.563,,,
299,06/11/22 02:05:18 AM,20.511,89.36,18.724,,,
300,06/11/22 03:05:18 AM,19.916,90.82,18.396,,,
301,06/11/22 04:05:18 AM,19.416,91.24,17.973,,,
302,06/11/22 05:05:18 AM,18.988,91.55,17.604,,,
303,06/11/22 06:05:18 AM,19.868,88.11,17.864,,,
304,06/11/22 07:05:18 AM,21.967,81.26,18.632,,,
305,06/11/22 08:05:18 AM,23.597,80.12,19.994,,,
306,06/11/22 09:05:18 AM,27.363,77.84,23.182,,,
307,06/11/22 10:05:18 AM,30.932,72.90,25.530,,,
308,06/11/22 11:05:18 AM,32.854,70.85,26.891,,,
309,06/11/22 12:05:18 PM,34.818,56.65,24.958,,,
310,06/11/22 01:05:18 PM,35.591,69.52,29.182,,,
311,06/11/22 02:05:18 PM,36.480,68.56,29.789,,,
312,06/11/22 03:05:18 PM,37.490,68.08,30.626,,,
313,06/11/22 04:05:18 PM,38.292,67.83,31.326,,,
314,06/11/22 05:05:18 PM,38.514,66.35,31.148,,,
315,06/11/22 06:05:18 PM,38.654,65.33,31.007,,,
316,06/11/22 07:05:18 PM,36.345,68.54,29.653,,,
317,06/11/22 08:05:18 PM,33.582,72.14,27.898,,,
318,06/11/22 09:05:18 PM,30.098,73.90,24.958,,,
319,06/11/22 10:05:18 PM,25.652,80.45,22.062,,,
320,06/11/22 11:05:18 PM,23.021,87.50,20.859,,,
321,06/12/22 12:05:18 AM,21.656,87.51,19.517,,,
322,06/12/22 01:05:18 AM,21.059,91.04,19.565,,,
323,06/12/22 02:05:18 AM,20.463,89.23,18.654,,,
324,06/12/22 03:05:18 AM,19.868,90.94,18.369,,,
325,06/12/22 04:05:18 AM,19.440,90.85,17.929,,,
326,06/12/22 05:05:18 AM,18.964,91.40,17.554,,,
327,06/12/22 06:05:18 AM,19.844,88.38,17.890,,,
328,06/12/22 07:05:18 AM,22.086,80.88,18.674,,,
329,06/12/22 08:05:18 AM,23.573,80.29,20.005,,,
330,06/12/22 09:05:18 AM,27.437,77.96,23.278,,,
331,06/12/22 10:05:18 AM,30.957,72.59,25.483,,,
332,06/12/22 11:05:18 AM,32.518,73.72,27.245,,,
333,06/12/22 12:05:18 PM,34.132,71.59,28.294,,,
334,06/12/22 01:05:18 PM,35.404,70.15,29.160,,,
335,06/12/22 02:05:18 PM,36.588,68.92,29.984,,,
336,06/12/22 03:05:18 PM,37.462,68.37,30.675,,,
337,06/12/22 04:05:18 PM,38.236,68.07,31.335,,,
338,06/12/22 05:05:18 PM,38.486,66.95,31.280,,,
339,06/12/22 06:05:18 PM,38.878,64.98,31.125,,,
340,06/12/22 07:05:18 PM,36.507,67.90,29.645,,,
341,06/12/22 08:05:18 PM,33.634,71.84,27.876,,,
342,06/12/22 09:05:18 PM,30.123,73.66,24.927,,,
343,06/12/22 10:05:18 PM,25.701,79.99,22.016,,,
344,06/12/22 11:05:18 PM,22.973,87.63,20.837,,,
345,06/13/22 12:05:18 AM,21.632,87.66,19.521,,,
346,06/13/22 01:05:18 AM,21.036,91.63,19.646,,,
347,06/13/22 02:05:18 AM,20.583,89.09,18.746,,,
348,06/13/22 03:05:18 AM,19.868,90.55,18.301,,,
349,06/13/22 04:05:18 AM,19.321,90.92,17.823,,,
350,06/13/22 05:05:18 AM,19.012,91.80,17.670,,,
351,06/13/22 06:05:18 AM,19.963,88.15,17.967,,,
352,06/13/22 07:05:18 AM,22.062,80.63,18.601,,,
353,06/13/22 08:05:18 AM,23.910,79.97,20.268,,,
354,06/13/22 09:05:18 AM,27.511,77.25,23.198,,,
355,06/13/22 10:05:18 AM,31.390,63.08,23.542,,,
356,06/13/22 11:05:18 AM,33.009,69.26,26.652,,,
357,06/13/22 12:05:18 PM,34.448,68.99,27.960,,,
358,06/13/22 01:05:18 PM,35.618,69.05,29.089,,,
359,06/13/22 02:05:18 PM,36.670,68.22,29.881,,,
360,06/13/22 03:05:18 PM,37.462,67.80,30.528,,,
361,06/13/22 04:05:18 PM,38.319,67.39,31.236,,,
362,06/13/22 05:05:18 PM,38.710,65.58,31.128,,,
363,06/13/22 06:05:18 PM,38.794,64.85,31.012,,,
364,06/13/22 07:05:18 PM,36.561,67.58,29.616,,,
365,06/13/22 08:05:18 PM,33.739,71.29,27.845,,,
366,06/13/22 09:05:18 PM,30.275,72.98,24.918,,,
367,06/13/22 10:05:18 PM,25.676,79.90,21.973,,,
368,06/13/22 11:05:18 PM,23.021,87.28,20.818,,,
369,06/14/22 12:05:18 AM,21.704,86.94,19.459,,,
370,06/14/22 01:05:18 AM,21.083,90.94,19.572,,,
371,06/14/22 02:05:18 AM,20.487,89.14,18.661,,,
372,06/14/22 03:05:18 AM,19.940,90.38,18.341,,,
373,06/14/22 04:05:18 AM,19.392,90.61,17.839,,,
374,06/14/22 05:05:18 AM,18.988,90.77,17.468,,,
375,06/14/22 06:05:18 AM,19.940,88.05,17.924,,,
376,06/14/22 07:05:18 AM,22.086,80.49,18.597,,,
377,06/14/22 08:05:18 AM,23.693,79.88,20.039,,,
378,06/14/22 09:05:18 AM,27.536,77.53,23.283,,,
379,06/14/22 10:05:18 AM,31.110,72.30,25.563,,,
380,06/14/22 11:05:18 AM,32.983,70.27,26.875,,,
381,06/14/22 12:05:18 PM,34.395,69.21,27.964,,,
382,06/14/22 01:05:18 PM,35.618,69.04,29.087,,,
383,06/14/22 02:05:18 PM,36.616,70.81,30.482,,,
384,06/14/22 03:05:18 PM,37.627,68.76,30.933,,,
385,06/14/22 04:05:18 PM,38.431,67.46,31.361,,,
386,06/14/22 05:05:18 PM,38.794,65.56,31.201,,,
387,06/14/22 06:05:18 PM,38.766,64.56,30.905,,,
388,06/14/22 07:05:18 PM,36.480,67.54,29.528,,,
389,06/14/22 08:05:18 PM,33.765,71.07,27.817,,,
390,06/14/22 09:05:18 PM,30.199,73.04,24.857,,,
391,06/14/22 10:05:18 PM,25.676,79.67,21.927,,,
392,06/14/22 11:05:18 PM,23.045,87.05,20.799,,,
393,06/15/22 12:05:18 AM,21.656,86.93,19.411,,,
394,06/15/22 01:05:18 AM,21.107,90.19,19.462,,,
395,06/15/22 02:05:18 AM,20.511,88.76,18.616,,,
396,06/15/22 03:05:18 AM,19.916,89.97,18.245,,,
397,06/15/22 04:05:18 AM,19.440,90.03,17.785,,,
398,06/15/22 05:05:18 AM,19.107,91.09,17.642,,,
399,06/15/22 06:05:18 AM,19.916,87.69,17.836,,,
400,06/15/22 07:05:18 AM,22.015,80.06,18.441,,,
401,06/15/22 08:05:18 AM,23.790,79.28,20.010,,,
402,06/15/22 09:05:18 AM,27.634,77.11,23.289,,,
403,06/15/22 10:05:18 AM,31.186,72.03,25.573,,,
404,06/15/22 11:05:18 AM,33.087,70.02,26.914,,,
405,06/15/22 12:05:18 PM,34.395,68.03,27.669,,,
406,06/15/22 01:05:18 PM,35.886,68.14,29.115,,,
407,06/15/22 02:05:18 PM,36.942,67.49,29.953,,,
408,06/15/22 03:05:18 PM,37.738,66.93,30.565,,,
409,06/15/22 04:05:18 PM,38.459,67.02,31.273,,,
410,06/15/22 05:05:18 PM,38.878,64.99,31.129,,,
411,06/15/22 06:05:18 PM,38.850,64.79,31.046,,,
412,06/15/22 07:05:18 PM,36.534,68.21,29.752,,,
413,06/15/22 08:05:18 PM,33.634,71.07,27.692,,,
414,06/15/22 09:05:18 PM,30.224,72.69,24.802,,,
415,06/15/22 10:05:18 PM,25.725,79.03,21.842,,,
416,06/15/22 11:05:18 PM,23.045,86.68,20.730,,,
417,06/16/22 12:05:18 AM,21.680,86.90,19.428,,,
418,06/16/22 01:05:18 AM,21.107,90.23,19.468,,,
419,06/16/22 02:05:18 AM,20.511,88.65,18.597,,,
420,06/16/22 03:05:18 AM,19.987,89.83,18.291,,,
421,06/16/22 04:05:18 AM,19.416,90.15,17.783,,,
422,06/16/22 05:05:18 AM,19.012,90.43,17.432,,,
423,06/16/22 06:05:18 AM,19.940,87.52,17.829,,,
424,06/16/22 07:05:18 AM,22.134,80.44,18.632,,,
425,06/16/22 08:05:18 AM,23.717,79.29,19.943,,,
426,06/16/22 09:05:18 AM,27.585,77.53,23.329,,,
